label,device_type,flow_pkts_s,flow_byts_s,flow_duration_s,avg_pkt_len
Normal,thermostat,30.24,11497.77,3.331,556.09
Normal,speaker,100.1,43240.51,3.467,673.98
DDoS,light,297.82,105615.45,3.413,520.27
Normal,light,37.62,15116.39,1.312,605.51
DDoS,camera,691.15,517347.37,9.45,660.53
Normal,camera,125.98,98909.33,4.28,626.02
DDoS,camera,644.26,470445.11,5.324,341.85
DDoS,speaker,344.85,208296.69,7.601,509.24
Normal,light,1.0,47025.33,6.658,627.23
Normal,light,22.47,7755.87,2.676,610.61
Normal,camera,128.23,78703.16,5.36,714.45
DDoS,speaker,593.72,239618.07,2.262,441.56
Normal,speaker,102.04,60192.89,2.421,822.73
Normal,camera,150.1,99382.56,6.644,611.39
Normal,camera,108.82,84476.32,5.073,619.6
Normal,camera,146.78,68876.85,1.081,714.45
Normal,thermostat,61.6,28851.16,1.033,707.84
Normal,thermostat,19.74,26593.81,1.618,591.37
Normal,thermostat,58.54,47671.35,2.99,582.74
DDoS,camera,939.18,407580.82,3.351,542.26
DDoS,light,412.95,89300.55,7.594,435.11
Normal,camera,164.2,93923.93,1.206,611.27
DDoS,camera,851.94,565187.22,4.165,673.34
DDoS,thermostat,481.61,129068.93,10.409,626.98
DDoS,thermostat,393.09,92944.35,2.1,474.71
Normal,light,71.9,9204.89,1.323,665.84
Normal,camera,144.7,83790.16,10.322,505.04
Normal,thermostat,40.99,100.0,2.244,653.34
DDoS,light,222.34,69806.05,2.858,470.21
Normal,camera,150.04,106936.28,4.35,462.93
Normal,light,32.69,35813.51,0.72,633.81
Normal,camera,116.34,72697.08,4.816,629.17
Normal,camera,127.41,92122.63,3.239,599.66
Normal,speaker,60.87,19482.53,2.666,577.33
Normal,speaker,65.47,42361.66,1.472,656.32
Normal,speaker,69.24,37196.16,1.03,693.91
Normal,thermostat,85.45,30219.24,0.32,743.15
DDoS,camera,1039.95,454944.01,3.351,448.31
DDoS,light,360.89,92614.78,0.988,510.08
DDoS,thermostat,542.71,139362.2,9.568,636.89
DDoS,camera,733.77,500832.89,0.979,281.84
Normal,thermostat,54.66,30284.25,1.621,702.83
Normal,camera,117.05,90377.12,2.177,742.28
DDoS,speaker,681.95,199390.59,4.842,515.57
Normal,camera,108.31,70608.28,1.167,557.41
Normal,light,5.38,17540.11,4.444,614.07
Normal,thermostat,81.26,1876.76,0.588,578.89
Normal,thermostat,56.81,12830.03,3.216,635.41
Normal,thermostat,100.5,19900.77,2.253,720.32
Normal,camera,101.07,87814.07,3.085,658.02
Normal,speaker,70.72,13251.7,11.838,577.32
DDoS,light,363.93,43425.45,5.435,460.7
Normal,speaker,45.36,34385.78,0.518,700.21
Normal,speaker,108.29,38165.07,1.567,594.91
Normal,light,60.78,100.0,1.015,664.57
DDoS,speaker,385.15,199413.07,2.455,458.92
